身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
不分平地山地,神岡區,計,1021,291,99,292,234,14,24,8,1,8,1,0,28,5,2,0,0,14
不分平地山地,神岡區,男,473,144,31,138,108,5,15,5,0,6,0,0,10,3,1,0,0,7
不分平地山地,神岡區,女,548,147,68,154,126,9,9,3,1,2,1,0,18,2,1,0,0,7
不分平地山地,潭子區,計,1648,504,408,359,183,18,37,32,12,13,1,2,22,0,31,1,1,24
不分平地山地,潭子區,男,775,255,179,170,76,4,23,14,6,8,1,1,9,0,17,1,0,11
不分平地山地,潭子區,女,873,249,229,189,107,14,14,18,6,5,0,1,13,0,14,0,1,13
不分平地山地,大雅區,計,2273,699,194,826,288,32,53,9,39,17,1,0,31,0,50,0,0,34
不分平地山地,大雅區,男,1076,334,86,392,134,21,21,0,24,8,0,0,13,0,22,0,0,21
不分平地山地,大雅區,女,1197,365,108,434,154,11,32,9,15,9,1,0,18,0,28,0,0,13
不分平地山地,新社區,計,300,73,97,36,27,8,0,6,1,0,3,0,10,0,37,0,0,2
不分平地山地,新社區,男,121,31,39,12,8,4,0,3,1,0,0,0,4,0,17,0,0,2
不分平地山地,新社區,女,179,42,58,24,19,4,0,3,0,0,3,0,6,0,20,0,0,0
不分平地山地,石岡區,計,96,22,41,19,6,0,1,0,0,0,0,0,5,0,2,0,0,0
不分平地山地,石岡區,男,40,10,15,9,2,0,1,0,0,0,0,0,2,0,1,0,0,0
不分平地山地,石岡區,女,56,12,26,10,4,0,0,0,0,0,0,0,3,0,1,0,0,0
不分平地山地,外埔區,計,217,76,26,48,31,6,15,1,6,1,0,0,5,0,2,0,0,0
不分平地山地,外埔區,男,90,38,10,22,8,2,4,0,3,0,0,0,3,0,0,0,0,0
不分平地山地,外埔區,女,127,38,16,26,23,4,11,1,3,1,0,0,2,0,2,0,0,0
不分平地山地,大安區,計,71,20,16,18,6,0,0,0,2,0,4,0,0,0,0,5,0,0
不分平地山地,大安區,男,28,5,10,8,2,0,0,0,1,0,0,0,0,0,0,2,0,0
不分平地山地,大安區,女,43,15,6,10,4,0,0,0,1,0,4,0,0,0,0,3,0,0
不分平地山地,烏日區,計,881,250,61,367,107,4,16,14,5,2,4,2,17,0,16,0,1,15
不分平地山地,烏日區,男,408,127,27,169,45,2,6,6,1,1,3,1,8,0,5,0,0,7
不分平地山地,烏日區,女,473,123,34,198,62,2,10,8,4,1,1,1,9,0,11,0,1,8
不分平地山地,大肚區,計,1524,520,120,418,348,3,47,9,1,0,10,3,18,0,13,0,0,14
不分平地山地,大肚區,男,724,271,51,192,152,2,26,5,0,0,3,0,9,0,4,0,0,9
不分平地山地,大肚區,女,800,249,69,226,196,1,21,4,1,0,7,3,9,0,9,0,0,5
不分平地山地,龍井區,計,1036,491,95,187,173,1,23,15,3,1,0,6,11,0,11,2,0,17
不分平地山地,龍井區,男,510,244,50,93,79,0,13,5,1,0,0,2,6,0,6,0,0,11
不分平地山地,龍井區,女,526,247,45,94,94,1,10,10,2,1,0,4,5,0,5,2,0,6
不分平地山地,霧峰區,計,632,322,58,108,64,10,23,1,2,0,2,3,12,0,12,3,0,12
不分平地山地,霧峰區,男,305,164,25,53,24,4,12,0,1,0,0,1,5,0,9,3,0,4
不分平地山地,霧峰區,女,327,158,33,55,40,6,11,1,1,0,2,2,7,0,3,0,0,8
不分平地山地,太平區,計,3027,1198,405,525,518,55,70,13,19,4,23,3,90,0,88,0,5,11
不分平地山地,太平區,男,1430,601,185,246,224,25,38,3,9,1,9,1,47,0,36,0,2,3
不分平地山地,太平區,女,1597,597,220,279,294,30,32,10,10,3,14,2,43,0,52,0,3,8
不分平地山地,大里區,計,2074,706,258,527,360,50,20,13,3,4,11,1,43,0,67,3,0,8
不分平地山地,大里區,男,962,355,115,232,156,21,10,5,2,1,5,0,20,0,35,0,0,5
不分平地山地,大里區,女,1112,351,143,295,204,29,10,8,1,3,6,1,23,0,32,3,0,3
不分平地山地,和平區,計,4291,211,3801,51,112,2,6,14,12,0,1,0,17,0,16,0,1,47
不分平地山地,和平區,男,2176,91,1964,21,41,0,5,6,8,0,1,0,7,0,8,0,0,24
不分平地山地,和平區,女,2115,120,1837,30,71,2,1,8,4,0,0,0,10,0,8,0,1,23
不分平地山地,臺南市,計,7819,2427,650,2435,1082,220,342,112,29,14,17,14,266,3,69,2,7,130
不分平地山地,臺南市,男,3277,1027,242,1051,460,90,143,49,12,7,6,6,104,2,21,2,2,53
不分平地山地,臺南市,女,4542,1400,408,1384,622,130,199,63,17,7,11,8,162,1,48,0,5,77
不分平地山地,新營區,計,275,107,22,69,38,5,16,5,0,0,1,0,12,0,0,0,0,0
不分平地山地,新營區,男,119,55,6,25,14,1,9,4,0,0,0,0,5,0,0,0,0,0
不分平地山地,新營區,女,156,52,16,44,24,4,7,1,0,0,1,0,7,0,0,0,0,0
不分平地山地,鹽水區,計,86,53,2,14,12,1,0,1,0,0,0,1,1,0,0,0,0,1
